ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID
gulamera_0011,mctondano,empaèdoan,N=	pa-èdo-an,INAN=	NR-take-LV,the collection place,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,35370,36860,=ln	np:s,,gulamera
gulamera_0012,mctondano,ee timpa',ee	timpa',HES	palm.sugar.sap,(for) palm sugar sap [i.e. there is a palm sugar sap container].,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,36920,38500,nc	rn_np,,gulamera
gulamera_0013,mctondano,ka'ayomèè aki ujung sia,#	i-ka-ayo	=mèè	waki	ujung	sia,#	CV.POT-arrive	=DIR.DIST	PREP3	tip	3SG.,Until he is at the end (of the branch).,en,WORD_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,39570,42560,##	other	=other	adp	np:pred_l	pro.h:s,,gulamera
gulamera_0014,mctondano,o tu,#	wo	tu,#	and	then,"And then,",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,43500,44810,##	other	other,,gulamera
gulamera_0015,mctondano,siminena'apè'la,si=	<im>ana'	=pè'	=la,3SG.NOM=	AV.PST-stay	=INCMP	=DIR.PROX,he has still stopped (there).,en,WORD_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,47120,48720,=pro.h:s	v:pred	=rv	=rv,,gulamera
gulamera_0016,mctondano,simaèdopè' ee keteran,#	si=	ma-èdo	=pè'	ZERO	ee	keter-an,#	3SG.NOM=	AV.DYN-take	=INCMP	ZERO	HES	power,He still takes it (the hard bamboo) forcefully.,en,WORD_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,51700,55090,##	=pro.h:a_a	v:pred	=rv	0:p_a	nc	rv,,gulamera
gulamera_0017,mctondano,kaa simewewè'èwel,#	ka'a	si=	me-Ce-wè'wèl	ZERO,#	because	3SG.NOM=	AV.DYN-IRR-tap	ZERO,Because he will pound (the palm sugar tree branch).,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,57070,58900,#ac	other	=pro.h:a_a	v:pred	0:p_a,,gulamera
gulamera_0018,mctondano,aa minèdomou entabelang,#	aa	ZERO	<im>èdo	=mow	N=	tabelang,#	HES	ZERO	<AV.PST>take	=CMP	INAN=	hard.bamboo,Ah (he's) taken the hard bamboo.,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,60830,63280,##	nc	0.h:a_a	v:pred	=rv	=ln	np:p_a,,gulamera
gulamera_0019,mctondano,o ni pewe'akesenapè',#	o	ZERO	nèy	pa-wa'akes-en	=na	=pè',#	PART	ZERO	CV.PST	DYN-tie.with.string-PV	=3SG.GEN	=INCMP,Oh he has still tied (the hard bamboo) with string (to the branch).,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,66910,69410,#	nc	0:p_u	lv	v:pred	=pro.h:a_u	=rv,,gulamera
gulamera_0020,mctondano,a ninamou pekewe'akes,#	a	niana	=mow	i-paka-wa'akes	ZERO,#	PART	DEM1	=CMP	CV.COMP-tie.with.string	ZERO,"Ah, (he) has already finished tying it with string.",en,WORD_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,73780,75780,##	nc	pro:p_u	=other	v:pred	0.h:a_u,,gulamera
gulamera_0021,mctondano,"kela, ah entè' kouman kapawe'akes tuama iti'i",#	kela	entè'	kowman	ZERO	kapa-we'akes	tuama	iti'i,#	PART	strong	meanwhile	ZERO	MANN-tie.with.string	man	DEM2,"Oh my, meanwhile how forcefully is that man tying it (the hard bamboo) with string.",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,77040,80210,##	nc	other	lv	0:p_u	v:pred	np.h:a_u	rn,,gulamera
gulamera_0022,mctondano,"siwitumou ujung enakel, ya",#	si=	witu	=mow	ujung	N=	akel	ya,#	3SG.NOM=	PREP2	=CMP	tip	INAN=	sugar.palm.tree	AFF,"He's already at the tip [of the sago palm tree branch], yes.",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,89410,91540,##	=pro.h:s	adp	=other	ln	=ln	np:pred_l	nc,,gulamera
gulamera_0023,mctondano,"a, nèi patumpanamou entabelang esa",#	a	nèy	pa-tumpa-en	=na	=mow	N=	tabelang	esa,#	PART	CV.PST	CV-DYN-descend-PV	=3SG.GEN	=CMP	INAN=	hard.bamboo	one,He's brought down the first length of hard bamboo.,en,WORD_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,93230,95590,##	nc	lv	v:pred	=pro.h:a_u	=rv	=ln	np:p_u	rn,,gulamera
gulamera_0024,mctondano,"entabalang esa it'i ni'itumou, ee",#	N=	tabalang	esa	it'i	ni'itu	=mow	ee,#	INAN=	hard.bamboo	one	DEM2	DEM2	=CMP	HES,"The one length of hard bamboo, so that then,",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,97370,100050,##	=ln	np:dt	rn	rn	other	=rn	nc,,gulamera
gulamera_0025,mctondano,siniwona potung,s<in>iwo-en	=na	potung,<PST>do-PV	=3SG.GEN	bamboo.tube,he has made (it into) a tube [for collecting palm sugar sap].,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,100130,101980,v:pred	=pro.h:a_u	np:p_u,,gulamera
gulamera_0026,mctondano,tiniboian nituama esa,#	ZERO	t<in>inboi-an	ni=	tuama	esa,#	ZERO	<PST>grasp-LV	AN.SG.GEN=	man	one,(It) was held on to by the first man.,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,105940,107900,##	0:p_u	v:pred	=ln	np.h:a_u	rn,,gulamera
gulamera_0027,mctondano,"siwia rarem siesa, siesa siwia natas",#	si=	wia	rarem	si=	esa	#	si=	esa	si=	wia	N=	atas,#	3SG=	PREP1	inside	AN.SG=	one	#	AN.SG=	one	3SG.NOM=	PREP1	INAN=	above,"One man he is inside (the foliage), one guy he is on top [of the palm sugar tree].",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,109200,111890,##	=pro.h:s	adp	np:pred_l	=ln	np.h:dt_s	##	=ln	np.h:dt_s	=pro.h:s	adp	=ln	np:pred_l,,gulamera
gulamera_0028,mctondano,dèi'mou,rèy'	=mow,not	=CMP,no longer [i.e. he has finished].,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,112100,113610,other	=other,,gulamera
gulamera_0029,mctondano,empaalinou nituama esa embina'akesanè i'ti'i,#	N=	pa-ali-en	=mow	ni=	tuama	esa	#	N=	w<in>a'akes-an	nè=	i'ti'i,#	3SG.NOM=	DYN-bring-PV	=CMP	AN.SG.GEN=	man	one	#	3SG.NOM=	<PST>tie.with.string-LV	AN.PL.GEN=	DEM2,"It's bought along by the first man, it [the bamboo] has been tied up by these guys.",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,116630,120290,##	=pro:p_u	v:pred	=rv	=ln	np.h:a_u	rn	##	=pro:p_u	v:pred	=ln	pro.h:a_u,,gulamera
gulamera_0030,mctondano,namou itumpami,#	niana	=mow	i-tumpa	ZERO	=mi,#	DEM1	=CMP	CV-descend	ZERO	=DIR.DIST,(He) brings (it) down [through the tube].,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,121010,122700,##	pro:p_u	=other	v:pred	0.h:a_u	=rv,,gulamera
gulamera_0031,mctondano,o ensiniwona rè'èn ee anu,#	wo	N=	s<in>iwo-en	=na	rè'èn	ee	anu,#	and	3SG.NOM=	<PST>do-PV	=3SG.GEN	PART	HES	NON.SPEC,"And he then does it the, erh, whatsit.",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,125830,128740,##	other	=pro:p_u	v:pred	=pro.h:a_u	other	nc	np:dt_p_u,,gulamera
gulamera_0032,mctondano,keteran sianu rimedèi' witu entabelang waki,#	keter-an	si=	anu	r<im>edèi'	ZERO	witu	N=	tabelang	waki,#	power-DEG	AN.SG=	NON.SPEC	<AV.PST>stand	ZERO	there	INAN=	hard.bamboo	PREP3,"Whatstheirname forcefully leans (the bamboo tube) there against,",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,131070,135740,##	other	=ln	pro.h:a_a	v:pred	0:p_a	other	=ln	np:l	adp,,gulamera
gulamera_0033,mctondano,towana nakel,towana	N=	akel,roof	INAN=	sugar.palm.tree,"the 'roof' [i.e. top] of the sugar palm tree,",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,136410,139000,np:l	=ln	rn_np,,gulamera
gulamera_0034,mctondano,dèi'mou sime'èwèlou,#	rèy'	=mow	si=	<um>wè'wèl	=mow	ZERO,#	not	=CMP	3SG.NOM=	<AV>tap	=CMP	ZERO,He no longer will hit (the sugar palm tree branch).,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,139440,141220,##neg	other	=other	=pro.h:a_a	v:pred	=rv	0:p_a,,gulamera
gulamera_0035,mctondano,"taan, nirisenapè'la rior",#	ta'an	<in>iris-en	=na	=pè'	=la	ZERO	rior,#	however	<PST>slice-PV	=3SG.GEN	=INCMP	=DIR.PROX	ZERO	fast,"However, it [the tree branch] was still being cut by him beforehand.",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,143570,146140,##	other	v:pred	=pro.h:a_u	=rv	=rv	0:p_u	other,,gulamera
gulamera_0036,mctondano,sia mè'èwèl,#	sia	<um>wè'wèl	ZERO,#	3SG	<AV>tap	ZERO,He will hit it [the palm sugar tree branch].,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,147250,148920,##	pro.h:a_a	v:pred	0:p_a,,gulamera
gulamera_0037,mctondano,matè siurè,#	<um>patè	si=	ka-urè,#	PART	3SG.NOM=	very-long,Oh dear! How long is he [taking to do this].,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,152520,154120,##	nc	=pro.h:s	other:pred,,gulamera
gulamera_0038,mctondano,mengurangura situama iti'i?,#	meN-kura-kura	si=	tuama	iti'i,#	AV.DYN-RDP-how	AN.SG=	tuama	DEM1,How [i.e. what] is this man doing?,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,154180,156040,##	v:pred	=ln	np.h:s	rn,,gulamera
gulamera_0039,mctondano,"o, sima",o	si=	ma,PART	HES	HES,"Oh, he's...",en,WORD_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,156980,158620,nc	nc	nc,,gulamera
gulamera_0040,mctondano,parou'unamou embaya unjungena kaa npewe,#	pa-row'-en	=na	=mow	N=	waya	unjung	=na	#	ka'a	N=	pewe,#	DYN-far-PV	=3SG.GEN	=CMP	INAN=	all	tip	=3SG.GEN	#	because	HES	HES,"He's removing [i.e. unblocking] everything from its end [of the tube]. Because,",en,WORD_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,158830,161860,##	v:pred	=pro.h:a_u	=rv	=ln	ln	np:p_u	=rn_pro:poss	#ac.neg	other	nc	nc,,gulamera
gulamera_0041,mctondano,ndè'pè' winè'èwèl empaarou'namou enujung,N=	rèy'	=pè'	ZERO	w<in>è'wèl-en	ZERO	#	N=	paarou'namou	=na	=mow	N=	enujung,INAN=	NEG	=INCMP	ZERO	<PST>tap	ZERO	#	3SG.NOM=	DYN-far-PV	=3SG.GEN	=CMP	INAN=	tip,"(he) hasn't hit, struck it [the branch] (yet). He clears it out, the end [of the branch where the sap comes out].",en,WORD_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,165390,168650,=other	other	=other	0:p_u	v:pred	0.h:a_u	##	=pro:p_u	v:pred	=pro.h:a_u	=rv	=ln	np:dt_p_u,,gulamera
gulamera_0042,mctondano,"e, esh",e	esh,PART	PART,Eh...,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,168680,174270,nc	nc,,gulamera
gulamera_0043,mctondano,ndè',#	N=	rèy',#	INAN=	not,"It's not,",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,177830,178780,##neg	nc	nc,,gulamera
gulamera_0044,mctondano,dèi'pè sapa sapa?,ZERO	rèy'	=pè'	sapa	sapa,ZERO	not	=INCMP	RDP	sapa,what's not yet (happening)?,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,179030,181310,0:s	other	=other	other	other:pred,,gulamera
gulamera_0045,mctondano,minèdomoutè empepatilna merou'la mbaya nujungena,#	ZERO	<im>èdo	=mow	=itè	N=	pepatil	=na	#	ZERO	ma-row'	=la	N=	waya	N=	ujung	=na,#	ZERO	<AV.PST>take	=CMP	=LIM	INAN=	machete	=3SG.GEN	#	ZERO	DYN.AV-far	=DIR.PROX	INAN=	all	INAN=	tip	=3SG.GEN,(He's) already just taken his machete. (He) clears out everything from its end.,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,188990,192870,##	0.h:a_a	v:pred	=rv	=rv	=ln	np:p_a	=rn_pro.h:poss	##	0.h:a_a	v:pred	=rv	=ln	ln	=ln	np:p_a	=rn_pro:poss,,gulamera
gulamera_0046,mctondano,pewewè'èwèlena è empewe'akesenamou,#	ZERO	pa-Ce-wè'wèl-en	=na	èy	#	N=	pa-wa'akes-en	=na	=mow,#	ZERO	DYN-IRR-tap-PV	=3SG.GEN	PART	#	3SG.NOM=	DYN-tie.with.string-PV	=3SG.GEN	=CMP,"Hey, he will hit it [the sugar palm tree branch]. He ties it [the tube] off with string.",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,193080,196010,##	0:p_u	v:pred	=pro.h:a_u	nc	##	=pro:p_u	v:pred	=pro.h:a_u	=rv,,gulamera
gulamera_0047,mctondano,siwitu tarè ka'anoumi witu ntambelang,#	si=	witu	tarè	i-ka-ana'	ZERO	=mow	=mi	witu	tabelang,#	3SG.NOM=	there	new	CV.POT-stay	ZERO	=CMP	=DIR.DIST	PREP2	hard.bamboo,He's now stopped there (by another man) on the hard bamboo tube [ladder].,en,WORD_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,200230,203170,##	=pro.h:p_u	other	lv	v:pred	0.h:a_u	=rv	=rv	adp	np:g,,gulamera
gulamera_0048,mctondano,yala siminakèmou kudah kudah,#	yala	si=	<im>pakè	=mow	kudah	kudah,#	HES	3SG.NOM=	<AV.PST>use	=CMP	RDP	strut,"He has used, fastened struts [to the hard bamboo].",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,206473,210144,##	nc	=pro.h:a_a	v:pred	=rv	ln_np	np:p_a,,gulamera
gulamera_0049,mctondano,paawesanè kasi tabelang esa pasil,#	pa-awes-an	ZERO	=pè'	kasi	tabelang	esa	pasil,#	DYN-add-LV	ZERO	=INCMP	more	hard.bamboo	one	PART,"He's again adding the first bamboo pole, oh dear.",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,212680,215220,##	v:pred	0.h:a_u	=rv	rv	np:p_u	rn	nc,,gulamera
gulamera_0050,mctondano,"enpotung ndèi' kaa witu, aaaiiii",#	N=	potung	N=	dèi'	ka'a	witu	aaaiiii,#	INAN=	bamboo.tube	INAN=	NEG	because	there	HES,"The palm sugar sap collection tube, it's not, because there.",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,220538,223920,#nc	nc	nc	nc	nc	nc	nc	nc,,gulamera
gulamera_0051,mctondano,a nèi patumpanamou,#	a	ZERO	nèy	pa-tumpa-en	=na	=mow,#	HES	ZERO	CV.PST	DYN-descend-PV	=3SG.GEN	=CMP,Ah he has brought down (the bamboo tube with the palm sugar sap).,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,226120,227910,##	nc	0:p_u	lv	v:pred	=pro.h:a_u	=rv,,gulamera
gulamera_0052,mctondano,"a, ninamou wèè witu nujungena ndè'imou",#	a	niana	=mow	i-wèè	ZERO	witu	N=	ujung	=na	N=	rèy'	=mow,#	PART	DEM2	=CMP	CV-give	ZERO	PREP2	INAN=	tip	=3SG.GEN	INAN=	not	=CMP,"Ah (he) will put it [the bamboo tube] at the tip [of the palm sugar tree branch], no more.",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,232280,235160,##	nc	pro:p_u	=rn	v:pred	0.h:a_u	adp	=ln	np:l	=rn_pro:poss	=ln	other	=other,,gulamera
gulamera_0053,mctondano,"kelaarou, sianu ma'akesla ni'itu",#	klaar	=mow	si=	anu	<um>wa'akes	=la	ni'itu,#	finish	=CMP	AN.SG=	NON.SPEC	<AV>tie.with.string	=DIR.PROX	DEM2,"Finished, whatstheirname will tie that off with string.",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,236600,239320,##	other	=other	=ln	np.h:a_a	v:pred	=rv	pro:p_a,,gulamera
gulamera_0054,mctondano,tantumou itu makaluaroumi entimpa',#	tantu	=mow	itu	ma-kaluar	=mow	=mi	N=	timpa',#	definitely	=CMP	DEM2	EV.STAT-go.out	=CMP	=DIR.DIST	INAN=	palm.sugar.sap,"Definitely this, the palm sugar sap comes out [of the bamboo tube].",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,241390,244550,##	other	=other	other	v:pred	=rv	=rv	=ln	np:s,,gulamera
gulamera_0055,mctondano,siminèamou waki sabua,#	si=	<im>èa	=mow	waki	sabua,#	3SG.NOM=	<AV.PST>go	=CMP	PREP3	hut,He's gone to a hut.,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,249300,251010,##	=pro.h:s	v:pred	=rv	adp	np:g,,gulamera
gulamera_0056,mctondano,nialimou niesa mpotung esa tantu mbutamou,#	<in>ali-en	=mow	ni=	esa	N=	potung	esa	#	ZERO	tantu	N=	wuta	=mow,#	<PST>bring-PV	=CMP	AN.SG.GEN=	one	INAN=	bamboo.tube	one	#	ZERO	definite	INAN=	full	=CMP,The first man has brought along the collection tube that is really full up [with sap].,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,255590,258750,##	v:pred	=rv	=ln	np.h:a_u	=ln	np:p_u	rn	#rc_rn	0:s	other	=ln	other:pred	=rv,,gulamera
gulamera_0057,mctondano,wo ni nèimou isèlokela witu rumping,#	wo	ini	nèy	=mou	i-sèlok	ZERO	=la	witu	rumping,#	and	DEM1	CV.PST	=CMP	CV-move	ZERO	=DIR.PROX	PREP2	wok,(He) has moved this to the wok.,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,261570,264520,#	other	pro:p_u	lv	=other	v:pred	0.h:a_u	=rv	adp	np:g,,gulamera
gulamera_0058,mctondano,patouanou api',#	pa-tow-an	=mow	ZERO	api',#	DYN-person-LV	=CMP	ZERO	fire,(He) lights the fire [i.e. 'makes it live'].,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,265200,266740,##	v:pred	=rv	0.h:a_u	np:p_u,,gulamera
gulamera_0059,mctondano,pakatowala api itu ndè'imou,#	i-paka-tow	=la	ZERO	api	itu	N=	rèy'	=mow,#	CV-COMP-person	=DIR.PROX	ZERO	fire	DEM2	INAN=	not	=CMP,"(After) (he) lights that fire, done.",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,268500,270840,##	v:pred	=rv	0.h:a_u	np:p_u	rn	=ln	neg	=other,,gulamera
gulamera_0060,mctondano,ngkayo'onèamou,#	N=	kayo-en	=nèa	=mow,#	3SG.NOM=	stir-PV	=3PL.GEN	=CMP,They'll stir it [the palm sugar sap in the wok].,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,271180,272750,##	=pro:p_u	v:pred	=pro.h:a_u	=rv,,gulamera
gulamera_0061,mctondano,a ye'i nitu wèè,#	a	ye'i	ni'tu	i-wèè	ZERO,#	HES	now	DEM2	CV-give	ZERO,And now (they'll) add this.,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,275200,276860,##	nc	other	pro:p_u	v:pred	0.h:a_u,,gulamera
gulamera_0062,mctondano,makaro'ko'mou o,#	ZERO	ma-karo'ko'	=mow	o,#	ZERO	EV.STAT-froth	=CMP	PART,"(The palm sugar) boils, oh.",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,277400,279770,##	0:s	v:pred	=rv	nc,,gulamera
gulamera_0063,mctondano,"dèi'mou, mamualimou gula itu",#	dèi'	=mow	ma-muali	=mow	gula	itu,#	not	=CMP	EV.STAT-be	=CMP	sugar	DEM2,"Finish [i.e. boiling, it's done], it becomes (hard) palm sugar.",en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,280590,283190,##neg	other	=other	v:pred	=rv	np:s	rn,,gulamera
gulamera_0064,mctondano,makaro'ko luar biasa ye,#	ma-karo'ko'	luar	biasa	ye'i,#	EV.STAT-froth	outside	normal	DEM1,It's boiling extraordinarily.,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,285290,287490,##	v:pred	rv	rv	pro:s,,gulamera
gulamera_0065,mctondano,oo,oo,PART,Oh.,en,MORPHEME_ALIGNED,,gulamera_mp3 gulamera_wav gulamera_eaf gulamera_xml gulamera_tsv,,287510,288560,nc,,gulamera
